0:00it feels like it's been a while since I've really enjoyed a piece of high fantasy which makes me sad because I
0:077 secondsreally used to like this stuff I do still like the sense of wonder it provides the ideas are still good the stories are still interesting the more I
0:1616 secondslearn about magic and its history the less I see it in these stories in fact some of this stuff in a weird way makes
0:2525 secondsme feel something kind of opposite magic as if the actual IDE a of this fictional magic the fantasy we're all engaging in
0:3434 secondsis something completely different and Magic is just this surrogate term we've adopted to describe it to be honest
0:4242 secondsdespite my history the whole idea of magic systems has always felt just a little dissonant to me it's almost as if
0:5151 secondsin the pursuit to systematize our fantasies we sort of lost the concept of
0:5656 secondswhat magic even means
1:011 minute, 1 second[Music]
5:095 minutes, 9 secondscourse that anything which appears to be Supernatural or impossible will inevitably one day be understood but the use of the term magic here paints a
5:175 minutes, 17 secondspicture of those things which are by his Reckoning actually perfectly rational as impossible to distinguish from the
5:255 minutes, 25 secondssupernatural he's saying that despite an implicit basis in ality they might yet appear to be impossible and wondrous
5:345 minutes, 34 secondsthat a thing doesn't actually have to be Supernatural to feel like it is Magic as
5:435 minutes, 43 seconds[Music]
5:445 minutes, 44 secondsmetaphor there is a secret fourth application of the word the way the term magic is used in Fantasy is just
5:535 minutes, 53 secondsgenerally very different from any of this it has almost nothing to do with the veracity of the actual event or your
6:006 minutesbelief in it it really has more to do with the text in lord of rings Frodo can use the
6:086 minutes, 8 secondsone ring to turn invisible if someone put on a ring and turned invisible in real life I mean we'd have to ask some questions about that that could throw
6:176 minutes, 17 secondsour entire understanding of physics into question or at least create some kind of rush to understand this weird Rings
6:246 minutes, 24 secondsmechanisms in a fantasy book we just accept that this is something the ring can do It's Magic we're okay with that the term
6:336 minutes, 33 secondspeople tend to use for this kind of thing is suspension of disbelief this idea that you can just ignore the logical implications you don't have to
6:416 minutes, 41 secondsget how things like magical rings work in real life because this isn't real life it's fantasy you can enjoy the
6:496 minutes, 49 secondsfantasy without having to question it but tolken himself had a very different perspective on this Middle Earth with
6:576 minutes, 57 secondsall its locations and histories and characters and languages is what he liked to call a secondary world within the universe of Lord of the Rings magic
7:067 minutes, 6 secondsrings do exist we don't contemplate them as impossible because in the story that's just not the case tolken didn't
7:157 minutes, 15 secondsconsider this suspension of disbelief he considered it secondary belief you buy the fantasy within this setting you
7:247 minutes, 24 secondsbelieve that a magical ring exists and that it can turn you invisible this idea like much of what tolken
7:327 minutes, 32 secondsthought of has become shall we say endemic to the high fantasy genre
7:397 minutes, 39 secondsthere's this pervasive sense that every secondary World in modern fantasy has to be believable not just engaging as per
7:477 minutes, 47 secondssuspension of disbelief but actually believable it has to make sense the audience shouldn't question its
7:557 minutes, 55 secondsrationale a fantasy world should be logical to the point that you can allow yourself to believe in it which ironically doesn't really leave much
8:038 minutes, 3 secondsroom for belief does it you might have heard of hard and soft magic systems these were popularized by
8:118 minutes, 11 secondsBrandon Sanderson who probably doesn't need an introduction he's the most successful living fantasy author in addition to his actual books he's known
8:208 minutes, 20 secondsfor a sort of literary theory he invented I mean you're watching a video with the term magic system in the title right now there's just about zero chance
8:288 minutes, 28 secondsyou haven't run across it at least some of his ideas before he's important to understanding the profile of modern fantasy
8:358 minutes, 35 secondsmagic according to Sanderson hard magic is defined by rules and structure the story explains to the reader how the
8:428 minutes, 42 secondsmagic Works in Patrick gras' King killer Chronicle for instance sympathetic magic is a practice that can be studied
8:498 minutes, 49 secondsmagicians can manipulate energy by psychically binding one object to another they have diagrams and measurements for it it has an intricate
8:578 minutes, 57 secondsset of rules which it obeys soft Magic by contrast exists without explanation in Lord of the Rings we know
9:059 minutes, 5 secondsGandalf is magical but we don't have any explanation for how his magic operates in sanderson's words soft magic leaves
9:139 minutes, 13 secondsroom for others who want to preserve a sense of wonder in their books there's also sanderson's famous three laws of magic which detail all the ways he
9:219 minutes, 21 secondsbelieves magic can be used to enhance a story according to these even soft magic has a set of rules to follow he gently
9:289 minutes, 28 secondsadvises against allowing characters to interact with it for instance and if they do says that it should hinder them more than help them soft magic is in his
9:379 minutes, 37 secondswords for visuals and Oban not for plot sanderson's goal here he says is to help
9:449 minutes, 44 secondsauthors tell better stories these rules will according to him result in more interesting plots and more fleshed out
9:529 minutes, 52 secondsworlds this is where you really start to see that fourth application of the term magic emerging not magic is phenomenon
9:599 minutes, 59 secondsor practice or metaphor magic as a plot device I do like some of the ideas Sanderson articulates in his essays it
10:0810 minutes, 8 secondssounds fun for instance to come up with all the different costs associated with using magic Sanderson himself enjoys using these laws as to many other
10:1610 minutes, 16 secondswriters his books are popular for a reason it's also just not
10:2310 minutes, 23 secondsmagic this conception of magic this usage of the term it's almost Direct opposite all our applications and
10:3110 minutes, 31 secondsunderstandings of magic in real life in the real world the uniting tether of all the different use cases for magic is the
10:3810 minutes, 38 secondsunknown it has to be believed in even if there's no proof that it even exists fantasy magic systems tend to do the
10:4610 minutes, 46 secondsopposite of that on a textual level they are a way of rationalizing the unknown there's always some authorial conceit
10:5410 minutes, 54 secondssome guideline to follow even for the most mysterious and unexplained phenomenon in the pursuit to create that belief in
11:0211 minutes, 2 secondsa secondary World it seems a lot of writers are forgetting how belief Works in this
11:0911 minutes, 9 secondsone I need to say this very directly magic is not fiction around the
11:1711 minutes, 17 secondsworld for thousands of years human beings have been practicing magic in real life and they still do today during
11:2511 minutes, 25 secondsChina's Shen Dynasty people interpreted Omens by burning animal bones inscribed to symbols ancient Egyptians used protection amulets both for the living
11:3311 minutes, 33 secondsand the dead medieval European leech books describe ways of curing disease through magic people everywhere still
11:4211 minutes, 42 secondspractice astrology follow superstitions and cast spells it's part of life I'm not saying that the Supernatural is real
11:5011 minutes, 50 secondsI'm also not saying that it isn't that's a personal matter for you to ponder what I am saying is that unlike science
11:5711 minutes, 57 secondspeople don't practice Magic to explain the unknown what is or isn't magical is
12:0412 minutes, 4 secondssubjective there's no real way to tell if your horoscope actually offers real premonitions casting a dowsing spell may
12:1112 minutes, 11 secondshelp you find your keys or maybe you'll just chance across them soon after pure coincidence the Alchemists didn't know
12:1912 minutes, 19 secondsabout the chemical reactions that caused the bolognia stone to grow science seeks answers through figuring out how things
12:2712 minutes, 27 secondswork once you can prove how the supernatural works it becomes natural it exits the domain of magic and enters the
12:3512 minutes, 35 secondsdomain of science even with an understanding of science many people continue to use magic anyway they engage with it because
12:4412 minutes, 44 secondsthey believe it can help enhance their lives maybe they find it spiritually fulfilling or practical or maybe magic
12:5112 minutes, 51 secondsis just fun for them science is perhaps our best way to form a unified understanding of the world it helps
12:5912 minutes, 59 secondsclarify the mysteries of the universe it equips us with useful knowledge it's concerned with
13:0613 minutes, 6 secondsobjectivity what we can prove to be true magic on the other hand is all about subjectivity it's not concerned with
13:1513 minutes, 15 secondswhat is explicable objective true it concerns only what you believe you can observe the chemical reactions that
13:2413 minutes, 24 secondscause barite to Glow you can even know how it works whether or not it's m magic depends on your own personal
13:3213 minutes, 32 secondsperspective in other words magic is real as long as you believe that it
13:4013 minutes, 40 secondsis of course we don't exactly live in a world amicable to that kind of belief these days it's a pretty vulnerable
13:4713 minutes, 47 secondsthing to do it takes a leap of faith to put your trust into the unknown it is anathema in post Enlightenment Society
13:5513 minutes, 55 secondsto Simply accept something you don't understand without trying to understand it at all objectivity is reliable you
14:0414 minutes, 4 secondsdon't need to leave when you have evidence of how the world Works instead you can safely cross a bridge from the unknown to the known you don't have to
14:1314 minutes, 13 secondsaccept not knowing I think this is why magic systems don't feel magical to me
14:2014 minutes, 20 secondsthere are magic systems that I really like and many of them give me a sense of wonder and amazement with all the rules and structure in a literary Magic system
14:2914 minutes, 29 secondswe can have incredible worlds full of Fantastical things but they very rarely come close to Magic they rarely ask for
14:3814 minutes, 38 secondsthat kind of belief in a fantasy story you can have a secondary belief like tolken said a sort of surrogate for real
14:4714 minutes, 47 secondsbelief you can just create a whole other world where things that would be impossible in this one are accepted as
14:5414 minutes, 54 secondstruth in this secondary world you never have to decide if the one ring is really magical there's no Leap of Faith No
15:0215 minutes, 2 secondspressing unknown to put your belief in the real world just isn't like that the efficacy of science can trick you into
15:1115 minutes, 11 secondsthinking Humanity has some strong grasp on how things work but that simply isn't true reality is still mostly unknown and
15:2015 minutes, 20 secondspart of science is going forward knowing full well that your current understanding may prove to be entirely wrong later the more we learn
15:2915 minutes, 29 secondsthe less we know the less we know the more Darkness there is to superimpose our beliefs over the ultimate ironic
15:3815 minutes, 38 secondsconclusion of scientific Pursuit is that the universe is fundamentally magical to believe in magic is to accept this
15:4715 minutes, 47 secondsCosmic tension to reach into the dark and interact with it before empiricism ever gets there magic systems break that
15:5515 minutes, 55 secondstension we can escape into a world where we never have to worry about an unknown beyond the author's intent where the
16:0316 minutes, 3 secondsunknown Can Be Tamed and made rational where it operates by rules and authorial conceits where it never has a chance to
16:1216 minutes, 12 secondsmake you feel vulnerable no uncertainty no need to believe no matter what
16:1916 minutes, 19 secondshappens within the story we accept that it can happen we understand that magicians in the king killer Chronicles
16:2616 minutes, 26 secondsstudy sympathetic magic we understand that the one ring can turn verto bagin invisible these things are not questions
16:3516 minutes, 35 secondsthey are known you are asked to believe in nothing except for the
16:4116 minutes, 41 secondstext the Paradox of magic systems is that they are the fantasy of a world without
16:5216 minutes, 52 secondsmagic remember that Arthur C Clark quote about sufficiently advanced technology being indistinguishable from Magic
16:5916 minutes, 59 secondsit's a good metaphor it actually describes how I feel about a lot of things in life computer programming is one of those things that I've been interested in for a long time but always
17:0817 minutes, 8 secondsseemed so complex it might as well be some kind of magical Arcana people who can grasp that stuff have always kind of seemed like Wizards to me but not so
17:1717 minutes, 17 secondsmuch lately our sponsor brilliant has really helped to demystify a lot of it for me I've actually been using brilliant for a little while now to
17:2517 minutes, 25 secondslearn about programming I used to just think of this stuff as impen Cascades of mathematical formula and cryptic progressions of code but now it's really
17:3417 minutes, 34 secondsjust a thing I do it was easy honestly it started me off with some simple digestible tasks and explained each step
17:4117 minutes, 41 secondsin detail so I knew exactly what I was doing and why which really made programming feel like something I could
17:4817 minutes, 48 secondsdo made it accessible to me in a way that it never seemed to be before and Brilliant has a whole course on programming with multiple levels that go
17:5617 minutes, 56 secondsfar beyond the fundamentals so there's still a lot of room for me to grow actually when I'm done with programming I think I'm going to spend a little time
18:0418 minutes, 4 secondson the data analysis stuff or maybe the maths logic I don't know there's a lot on brilliant but it's all just as
18:1218 minutes, 12 secondsaccessible as the programming stuff so I'm pretty much excited to try it all every course lets you start at your own skill level and adjust your goals for
18:1918 minutes, 19 secondseach day you learn at your pace whatever that looks like whether you're incredibly fresh to all of this or if you're an expert looking for a challenge
18:2818 minutes, 28 secondsto try br out for one whole month free just visit brilliant.org Foundry or click the link in the description and if it sticks and you want to keep going
18:3618 minutes, 36 secondsthat same link will net you 20% off in annual subscription again visit brilliant.org Foundry to get your first
18:4318 minutes, 43 seconds30 days free and 20% off a year subscription if you're tired of math and science feeling like unknowable Mystic
18:5118 minutes, 51 secondsRune scrolling this is your chance to demystify it I hope you'll give it a try
19:0019 minutesanyway that's all for this one thanks for watching and keep making stuff up
19:0519 minutes, 5 secondsI'll see you next week bye
19:1119 minutes, 11 seconds[Music]
19:2319 minutes, 23 seconds[Music]
